 ,   nonconj,       ecce,       ideal, original
1,      0.59,       0.44,        0.46,  0.39
2,      0.92,       0.70,        0.71,  0.66
3,      0.98,       0.95,        0.96,  0.90
4,      1.24,       1.20,        1.24,  1.17
5,      1.51,       1.50,        1.51,  1.44
6,      1.78,       1.75,        1.77,  1.70
7,      2.02,       2.01,        2.03,  1.95



 ,    nonconj,         ecce,      ideal,    original
1,       0.64,         0.41,       0.41,        0.49
2,       1.41,         0.83,       0.84,        1.03
3,       2.24,         1.29,       1.30,        1.62
4,       3.11,         1.74,       1.75,        2.21
5,       3.83,         2.20,       2.21,        2.81
6,       4.67,         2.64,       2.65,        3.42
7,       5.49,         3.10,       3.12,        4.00

