  ,  ecce,   nonconj,   original,    ideal_f,      ideal
 1,  0.26,      0.47,       0.59,       0.34,       0.26
 2,  0.96,      1.66,       1.43,       1.32,       0.95
 3,  2.10,      3.82,       3.49,       3.06,       2.17
 4,  3.14,      6.02,       5.46,       7.04,       4.07
 5,  4.96,      9.41,       8.93,      10.94,       7.89
 6,  6.83,     13.72,      11.85,      14.59,      14.51
 7,  9.32,     16.15,      15.63,      22.09,      16.37
 8, 12.04,     21.19,      18.85,      30.08,      19.27
 9, 15.21,     26.72,      25.07,      48.03,      25.44
10, 28.42,     37.59,      25.34,      54.59,      35.02
