,ecce,ecce_r,nonconj,orignal,ideal_f,ideal
1,0.240994,0.239088,0.278825,0.298330,0.294028,0.225622
2,0.807838,0.807007,1.024488,1.027187,1.041077,0.770031
3,1.696726,1.694572,2.286502,2.226711,2.214573,1.637666
4,2.919910,2.917888,4.050349,3.843720,3.849903,2.855070
5,4.487313,4.466708,6.319591,5.887139,5.958633,4.367291
6,6.305143,6.340638,9.080295,8.381328,8.540079,6.201428
7,8.540319,8.575722,12.441170,11.261373,11.442805,8.385847
8,11.061764,11.111514,16.583083,14.653111,14.994958,10.895872
9,13.926701,14.013352,20.640080,18.487960,18.873052,13.746624
10,17.140003,17.204248,25.816906,22.719735,23.246268,16.907831
